pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current,orient_cov_1,orient_cov_2,orient_cov_3,orient_cov_4,orient_cov_5,orient_cov_6,orient_cov_7,orient_cov_8,orient_cov_9,angvel_cov_1,angvel_cov_2,angvel_cov_3,angvel_cov_4,angvel_cov_5,angvel_cov_6,angvel_cov_7,angvel_cov_8,angvel_cov_9,linacc_cov_1,linacc_cov_2,linacc_cov_3,linacc_cov_4,linacc_cov_5,linacc_cov_6,linacc_cov_7,linacc_cov_8,linacc_cov_9
-2.532038,1.992086,1.212482,0.132146,-0.146158,0.717868,0.667713,0.000000,0.222780,0.054017,-0.890206,0.393680,0.000000,0.001111,0.000000,0.040000,0.040000,0.030000,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.000000,-62.000000,-43.000000,-43.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532034,1.992082,1.212485,0.132116,-0.146190,0.717858,0.667723,0.004456,0.222780,0.054017,-0.890206,0.393680,0.000000,0.001111,0.000000,0.040000,0.040000,0.030000,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.000000,-62.000000,-43.000000,-43.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532030,1.992078,1.212488,0.132086,-0.146222,0.717847,0.667733,0.004569,0.222780,0.054017,-0.890206,0.393680,0.000000,0.001111,0.000000,0.040000,0.040000,0.030000,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.066667,-62.200000,-42.000000,-43.266667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532026,1.992074,1.212491,0.132056,-0.146254,0.717837,0.667744,0.009723,0.222780,0.054017,-0.890206,0.393680,0.000000,0.001037,0.000074,0.040000,0.038667,0.028667,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.133333,-62.400000,-41.000000,-43.533333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532059,1.992082,1.212544,0.132013,-0.146305,0.717830,0.667748,0.017014,0.222780,0.054017,-0.890206,0.393680,0.000000,0.000963,0.000148,0.040000,0.037333,0.027333,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.200000,-62.600000,-40.000000,-43.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532019,1.992157,1.212620,0.131984,-0.146118,0.718060,0.667547,0.025403,0.222780,0.054017,-0.890206,0.393680,0.000000,0.000889,0.000222,0.040000,0.036000,0.026000,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.266667,-62.800000,-39.000000,-44.066667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532017,1.992105,1.212593,0.132051,-0.145861,0.718116,0.667530,0.034071,0.222780,0.054017,-0.890206,0.393680,0.000000,0.000815,0.000296,0.040000,0.034667,0.024667,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.333333,-63.000000,-38.000000,-44.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532000,1.992067,1.212529,0.132071,-0.146183,0.717915,0.667672,0.043064,0.222780,0.054017,-0.890206,0.393680,0.000000,0.000741,0.000370,0.040000,0.033333,0.023333,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.400000,-63.200000,-37.000000,-44.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532038,1.992083,1.212509,0.132143,-0.146194,0.717936,0.667633,0.051103,0.222780,0.054017,-0.890206,0.393680,0.000000,0.000667,0.000444,0.040000,0.032000,0.022000,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.466667,-63.400000,-36.000000,-44.866667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2.532008,1.992060,1.212519,0.132091,-0.146317,0.717842,0.667717,0.059714,0.222780,0.054017,-0.890206,0.393680,0.000000,0.000593,0.000519,0.040000,0.030667,0.020667,41228.000000,41225.000000,41345.000000,41342.000000,0.000000,0.000000,0.000000,0.000000,-24.533333,-63.600000,-35.000000,-45.133333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
