linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,angular_velocity.x,angular_velocity.y,angular_velocity.z,is_anomaly
0.178571,-0.209286,-0.201429,0.018651,-0.016746,0.041508,-1
-0.335385,-0.074615,0.017692,-0.012393,0.03812,-0.005556,-1
0.173333,-0.113333,-0.146667,-0.02,-0.044444,-0.008148,-1
-0.15,0.19,-0.19,-0.024444,-0.025556,-0.034444,-1
-0.431667,-0.178333,0.14,-0.000741,-0.005,-0.030741,-1
-0.235714,-0.159286,0.087143,-0.014841,0.025556,0.002063,-1
0.100769,-0.148462,-0.106154,-0.011795,-0.049829,-0.031453,-1
-0.108,0.026667,-0.205333,-0.021037,0.057852,-0.003704,-1
-0.36,0.05,0.1,-0.008889,-0.02,-0.03,-1
-0.3,0.11,0.14,-0.012222,0.045556,-0.001111,-1
-0.377692,-0.176923,0.133077,0.001026,-0.016154,-0.034017,-1
-0.242857,-0.092857,0.099286,-0.030397,-0.004841,-0.023413,-1
-0.231429,-0.138571,0.074286,-0.014127,0.026667,0.001905,-1
-0.245,-0.272857,0.038571,-0.017778,-0.032302,-0.002778,-1
-0.146923,0.016923,-0.181538,-0.021966,0.057265,-0.005556,-1
