pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current,orient_cov_1,orient_cov_2,orient_cov_3,orient_cov_4,orient_cov_5,orient_cov_6,orient_cov_7,orient_cov_8,orient_cov_9,angvel_cov_1,angvel_cov_2,angvel_cov_3,angvel_cov_4,angvel_cov_5,angvel_cov_6,angvel_cov_7,angvel_cov_8,angvel_cov_9,linacc_cov_1,linacc_cov_2,linacc_cov_3,linacc_cov_4,linacc_cov_5,linacc_cov_6,linacc_cov_7,linacc_cov_8,linacc_cov_9
-2.511702,1.673007,1.083433,0.137151,-0.149474,0.718309,0.665491,25.244923,0.225406,0.049561,-0.889965,0.393316,-0.015556,-0.052222,-0.031111,0.13,-0.17,-0.12,42650.832,42639.668,42780.832,42759.832,563.1667,550.0,557.6667,560.1667,-89.833336,-69.666664,-138.66667,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511546,1.672682,1.08324,0.13686,-0.149651,0.718178,0.665653,25.247604,0.225232,0.049585,-0.890021,0.393287,-0.014274,-0.049573,-0.027436,0.123077,-0.182308,-0.116923,42655.75,42644.5,42785.75,42764.75,564.75,550.5,558.0,560.25,-89.75,-69.5,-140.0,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.50763,1.637324,1.066621,0.138515,-0.145799,0.719484,0.664755,25.562704,0.22279,0.052019,-0.890491,0.393298,-0.016797,-0.025882,-0.001242,-0.342941,-0.300588,0.057647,42833.285,42819.285,42962.715,42945.0,558.0,559.2857,556.2857,575.1429,-88.0,-78.57143,-146.42857,-135.85715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507435,1.636937,1.066561,0.138513,-0.14588,0.719292,0.664945,25.568064,0.222775,0.052062,-0.89049,0.393305,-0.017778,-0.027778,-0.001111,-0.35,-0.32,0.06,42837.355,42823.355,42966.645,42949.0,557.5,558.8571,555.8571,574.4286,-88.0,-77.21429,-144.78572,-135.07143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.507239,1.636551,1.0665,0.138512,-0.145961,0.7191,0.665135,25.572668,0.22264,0.052106,-0.890533,0.393278,-0.017778,-0.029286,-0.001667,-0.315,-0.304286,0.052857,42841.43,42827.43,42970.57,42953.0,557.0,558.4286,555.4286,573.7143,-88.0,-75.85714,-143.14285,-134.28572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.504445,1.618313,1.058058,0.136567,-0.141806,0.719422,0.666087,25.754375,0.217592,0.052979,-0.892035,0.392581,-0.021111,-0.042222,-0.007778,0.19,-0.12,-0.2,42950.332,42937.332,43078.668,43064.0,547.3333,556.6667,541.3333,558.0,-87.0,-71.0,-126.333336,-128.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.480642,1.224699,0.897828,0.132948,-0.142241,0.726338,0.659186,29.1205,0.214989,0.051612,-0.889588,0.399686,-0.00906,0.041709,0.003333,-0.27,0.092308,0.118462,44811.0,44799.0,44944.0,44929.0,557.0,561.0,576.0,566.0,-88.0,-73.0,-141.0,-123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.480633,1.224264,0.897642,0.132861,-0.14225,0.726239,0.65931,29.12107,0.215087,0.051575,-0.889525,0.399779,-0.012222,0.045556,-0.001111,-0.3,0.11,0.14,44815.918,44804.0,44949.082,44934.082,557.9167,561.5833,575.6667,565.8333,-88.25,-73.583336,-140.5,-123.083336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.480624,1.22383,0.897455,0.132773,-0.142259,0.726141,0.659434,29.125656,0.215227,0.051631,-0.889507,0.399736,-0.010635,0.043095,-0.002381,-0.3,0.080714,0.126429,44820.832,44809.0,44954.168,44939.168,558.8333,562.1667,575.3333,565.6667,-88.5,-74.166664,-140.0,-123.166664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.478677,1.189784,0.884053,0.132731,-0.143699,0.726521,0.658711,29.437426,0.216559,0.051698,-0.889429,0.399181,0.016667,-0.01,0.04,0.32,-0.18,-0.15,45003.75,44989.25,45132.25,45116.25,557.5,553.5,548.0,546.0,-85.25,-68.5,-128.75,-103.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
