pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,timestamp,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,enc1,enc2,enc3,enc4,vel1,vel2,vel3,vel4,m1current,m2current,m3current,m4current,orient_cov_1,orient_cov_2,orient_cov_3,orient_cov_4,orient_cov_5,orient_cov_6,orient_cov_7,orient_cov_8,orient_cov_9,angvel_cov_1,angvel_cov_2,angvel_cov_3,angvel_cov_4,angvel_cov_5,angvel_cov_6,angvel_cov_7,angvel_cov_8,angvel_cov_9,linacc_cov_1,linacc_cov_2,linacc_cov_3,linacc_cov_4,linacc_cov_5,linacc_cov_6,linacc_cov_7,linacc_cov_8,linacc_cov_9
-2.514349,1.694659,1.093912,0.139305,-0.152294,0.72023,0.662321,25.034546,0.228525,0.050234,-0.887853,0.396195,0.021111,-0.022222,-0.017778,-0.16,-0.25,-0.07,42535.07,42526.43,42667.43,42645.43,541.2143,527.0714,541.4286,550.1429,-88.0,-74.0,-154.5,-126.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.512245,1.67539,1.084315,0.13724,-0.148759,0.718942,0.66495,25.222843,0.22612,0.049637,-0.889612,0.393693,-0.008034,-0.047436,-0.031795,0.071538,-0.126923,-0.092308,42633.75,42622.75,42763.75,42742.625,560.5,548.125,556.625,559.75,-89.75,-70.5,-139.0,-109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511977,1.674182,1.083876,0.136644,-0.148925,0.718502,0.665511,25.232244,0.225942,0.049618,-0.889701,0.393599,-0.009915,-0.048632,-0.031624,0.086154,-0.137692,-0.099231,42637.375,42626.375,42767.375,42746.312,560.25,548.5625,556.8125,559.875,-89.875,-70.25,-137.5,-107.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511917,1.673757,1.08375,0.137043,-0.149111,0.718471,0.66542,25.233404,0.225763,0.049599,-0.889789,0.393504,-0.011795,-0.049829,-0.031453,0.100769,-0.148462,-0.106154,42641.0,42630.0,42771.0,42750.0,560.0,549.0,557.0,560.0,-90.0,-70.0,-136.0,-106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511858,1.673332,1.083625,0.137442,-0.149296,0.718441,0.66533,25.240623,0.225584,0.04958,-0.889877,0.39341,-0.013675,-0.051026,-0.031282,0.115385,-0.159231,-0.113077,42645.918,42634.832,42775.918,42754.918,561.5833,549.5,557.3333,560.0833,-89.916664,-69.833336,-137.33333,-108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511702,1.673007,1.083433,0.137151,-0.149474,0.718309,0.665491,25.244923,0.225406,0.049561,-0.889965,0.393316,-0.015556,-0.052222,-0.031111,0.13,-0.17,-0.12,42650.832,42639.668,42780.832,42759.832,563.1667,550.0,557.6667,560.1667,-89.833336,-69.666664,-138.66667,-110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511546,1.672682,1.08324,0.13686,-0.149651,0.718178,0.665653,25.247604,0.225232,0.049585,-0.890021,0.393287,-0.014274,-0.049573,-0.027436,0.123077,-0.182308,-0.116923,42655.75,42644.5,42785.75,42764.75,564.75,550.5,558.0,560.25,-89.75,-69.5,-140.0,-112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511321,1.671781,1.082713,0.137053,-0.149104,0.718448,0.665444,25.253223,0.225058,0.049608,-0.890076,0.393258,-0.012991,-0.046923,-0.023761,0.116154,-0.194615,-0.113846,42660.668,42649.332,42790.668,42769.668,566.3333,551.0,558.3333,560.3333,-89.666664,-69.333336,-141.33333,-114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511183,1.670523,1.082037,0.136963,-0.148348,0.718376,0.66571,25.26415,0.224884,0.049631,-0.890131,0.39323,-0.011709,-0.044274,-0.020085,0.109231,-0.206923,-0.110769,42665.582,42654.168,42795.582,42774.582,567.9167,551.5,558.6667,560.4167,-89.583336,-69.166664,-142.66667,-116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.511031,1.669751,1.081512,0.137312,-0.14818,0.718391,0.665659,25.272903,0.22471,0.049655,-0.890186,0.393201,-0.010427,-0.041624,-0.01641,0.102308,-0.219231,-0.107692,42670.5,42659.0,42800.5,42779.5,569.5,552.0,559.0,560.5,-89.5,-69.0,-144.0,-118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
